Rpl10,1700020D14Rik,Pbsn
Rpl10a,1700040F15Rik,Scml2
Rpl11,4932431L22Rik,Tfe3
Rpl12,Ddx3y,Drp2
Rpl13,Eif2s3y,Mid2
Rpl13a,Gapdh-ps15,Mcts1
Rpl14,Gm10256,Egfl6
Rpl15,Gm10352,Ddx3x
Rpl17,Gm17790,Fmr1
Rpl18,Gm18177,Dlg3
Rpl18a,Gm18665,Araf
Rpl19,Gm18796,Cfp
Rpl21,Gm18797,Timp1
Rpl22,Gm18798,Uxt
Rpl23,Gm20736,Ocrl
Rpl23a,Gm20737,Uba1
Rpl24,Gm20738,Fam50a
Rpl26,Gm20747,Emd
Rpl27,Gm20770,Gria3
Rpl27a,Gm20772,Pdzd4
Rpl28,Gm20773,Srpk3
Rpl29,Gm20775,Idh3g
Rpl3,Gm20776,Pnck
Rpl30,Gm20777,Ssr4
Rpl31,Gm20781,Bcap31
Rpl32,Gm20788,Ikbkg
Rpl34,Gm20791,Clcn5
Rpl35,Gm20792,Sh2d1a
Rpl35a,Gm20793,Cnga2
Rpl36,Gm20794,Rhox6
Rpl37,Gm20795,Pgrmc1
Rpl37a,Gm20798,Steep1
Rpl38,Gm20799,Pola1
Rpl39,Gm20800,Mid1ip1
Rpl4,Gm20801,Rpl10
Rpl40,Gm20802,Elk1
Rpl41,Gm20803,Taf7l
Rpl44,Gm20804,Tex11
Rpl5,Gm20805,Kcnd1
Rpl6,Gm20806,Nxf2
Rpl7,Gm20807,Tafazzin
Rpl7a,Gm20808,Mtmr1
Rpl8,Gm20809,Hmgb3
Rpl9,Gm20810,Lage3
Rplp0,Gm20811,Ubl4a
Rplp1,Gm20812,Gdi1
Rplp2,Gm20813,Cybb
Rps10,Gm20814,Xk
Rps11,Gm20815,Cltrn
Rps12,Gm20816,Ace2
Rps13,Gm20817,Awat1
Rps14,Gm20818,Pdzd11
Rps15,Gm20819,Tenm1
Rps15a,Gm20820,Lonrf3
Rps16,Gm20821,Ube2a
Rps17,Gm20822,Slc25a5
Rps18,Gm20823,Atp1b4
Rps19,Gm20824,Pls3
Rps2,Gm20825,Nkap
Rps20,Gm20826,Ndufa1
Rps21,Gm20827,Lamp2
Rps23,Gm20828,Il13ra1
Rps24,Gm20830,Glra2
Rps25,Gm20831,Glra4
Rps26,Gm20832,Atp6ap1
Rps27,Gm20833,Dnase1l1
Rps27a,Gm20834,Gdpd2
Rps28,Gm20835,Slc6a8
Rps29,Gm20836,Rgn
Rps3,Gm20837,Mospd1
Rps30,Gm20838,Fhl1
Rps3a,Gm20840,Ssxb2
Rps4x,Gm20841,Cypt1
Rps5,Gm20842,Bmp15
Rps6,Gm20843,Esx1
Rps7,Gm20844,Maoa
Rps8,Gm20846,Efhc2
Rps9,Gm20847,Fundc1
Rpsa,Gm20848,Dusp21
,Gm20849,Samt4
,Gm20850,Nr0b1
,Gm20851,Tasl
,Gm20852,Gk
,Gm20853,Maged1
,Gm20854,Tbl1x
,Gm20855,Ribc1
,Gm20856,Hsd17b10
,Gm20857,Huwe1
,Gm20858,Fam120c
,Gm20859,Tsr2
,Gm20860,Fgd1
,Gm20861,Gnl3l
,Gm20862,Maged2
,Gm20863,Apex2
,Gm20864,Alas2
,Gm20865,Pfkfb1
,Gm20866,Tro
,Gm20867,Sat1
,Gm20868,Acot9
,Gm20869,4933436I01Rik
,Gm20870,Prdx4
,Gm20871,Kdm5c
,Gm20873,Gpr143
,Gm20874,Apool
,Gm20877,Satl1
,Gm20879,2010106E10Rik
,Gm20880,Zfp711
,Gm20881,Chm
,Gm20882,Dach2
,Gm20883,Klhl4
,Gm20884,Phf6
,Gm20885,Hprt
,Gm20886,Arhgef9
,Gm20887,Cnksr2
,Gm20888,Rps6ka6
,Gm20889,Tmem47
,Gm20890,Prps2
,Gm20891,Xiap
,Gm20892,Stag2
,Gm20893,Atp6ap2
,Gm20894,Usp9x
